grid_id,total_road_len
29027,2179.737794880736
29028,38154.823782484
29029,58198.31106258369
29030,50782.16924594442
29031,89945.09793356851
29032,55912.40938901518
29033,41340.11896663266
29034,42137.87051905105
29035,47667.71035239221
29036,29849.832145286007
29037,4376.635377133196
29437,70108.83597861664
29438,18942.668511331125
29439,8333.983268823264
29441,56154.54042593423
29442,26109.29938695444
29446,42981.497582732394
29447,32109.80530037584
29448,21561.201863068633
29449,102896.24232215591
29450,64990.358039452156
29451,45476.11620659323
29452,51094.61954020422
29453,65469.673990927724
29454,74334.33862811587
29455,91070.99908581238
29456,53959.21295148884
29856,36672.280787991695
29857,17800.47618647912
29858,36903.424396828785
29859,2967.734721349736
29860,79628.38675594349
29861,99966.44746931802
29862,80729.55301774184
29863,96609.92460461955
29864,54672.78985721947
29865,48456.36488763626
29866,84165.60332140239
29867,79176.6596803237
29868,70402.72234061778
29869,122523.76343533484
29870,20892.47321638387
29871,16083.550084272798
29872,48845.99534557477
29873,60640.48714405219
29874,39831.91376011996
29875,3809.242487366123
30275,46564.83805516962
30276,63265.37852465632
30277,90884.80622027219
30278,35234.91343762029
30279,48149.50301406904
30280,80664.41747830276
30281,100722.98113425157
30282,75555.73895713867
30283,197461.0809964229
30284,123722.6367187414
30285,87844.29577283778
30286,64177.50279438323
30287,105782.0289381833
30288,83932.00233304942
30289,51876.10616484793
30290,78799.6321383194
30291,73668.00810986663
30292,2412.8989307975403
30694,33189.18221167416
30695,62477.917529325576
30696,64591.9853668634
30697,14227.33414646353
30699,8697.30158547495
30700,30817.44463249002
30701,76109.23490264094
30702,74076.29085309905
30703,127701.85963213006
30704,115633.17279014741
30705,45896.409631393624
30706,141821.67738144568
30707,55580.068814039594
30708,85729.6865022641
30709,75484.01056324005
30710,13330.925814907734
30711,1038.7969093151537
31113,35309.08377689874
31114,70190.76083004639
31115,10746.209688576673
31119,19562.699423809423
31120,33138.85213151175
31121,56182.317285194506
31122,124267.49493735471
31123,93819.14423748077
31124,174943.5167521424
31125,143898.3795272555
31126,75919.45145002837
31127,8828.342328822417
31530,60591.53571097499
31531,10415.975205835182
31532,36673.77752003475
31533,85841.82597345326
31534,22478.584450437436
31535,7324.056870076647
31536,30016.396312160254
31537,35121.797344688246
31538,19562.699423809423
31539,18980.204241535597
31540,114968.95421675908
31541,81967.63573626691
31542,84571.11592789608
31543,127599.90945824522
31544,141705.4719755962
31545,58927.67776480365
31546,24617.850866637527
31950,34686.64083542992
31951,56776.10053918053
31952,102873.48366885138
31953,53369.489318523716
31954,58649.00915443337
31955,19265.04646896577
31958,35215.66162386705
31960,8116.302323705501
31961,168777.29994257956
31962,132753.19118301422
31963,21605.082381260036
31964,47151.60110056834
31965,85897.31176577583
31966,38160.294995537864
32369,4578.916367832895
32370,68249.5783486045
32371,52358.602212961836
32372,24066.949965630054
32374,14460.211550807227
32375,32396.923761557147
32376,22334.914715209605
32377,22334.914715209605
32379,6872.8705727665665
32380,44095.40404216164
32381,6367.533307656703
32382,56262.6586885147
32789,13212.504806012508
32790,88841.77476359498
32791,20236.33156909996
32794,20406.018538100416
32795,42740.933253310024
32801,52095.547774950464
32802,76727.1514314468
33208,1619.4476438548575
33209,66778.29251019719
33210,94062.15000099973
33211,104335.62745062755
33212,3280.396312531433
33220,6243.390279981778
33221,51435.45784031431
33628,41671.895977414664
33629,41057.839041074425
33630,369.9296730936014
33129,11780.262854029548
33130,87830.32436611921
33546,10980.841992931602
33547,65751.43115260963
33548,98818.11804518638
33549,89025.35703593708
33550,61507.42643064533
33551,76294.18040776408
33965,89217.1332034817
33966,78432.52173945699
33967,128090.42900009753
33968,49646.25794266288
33969,11842.609061163686
33970,48584.856881132444
33971,110795.03179162434
34383,57856.83879428141
34384,111399.01146363562
34385,73795.80466854142
34386,112292.4721170346
34387,21072.399556710137
34388,5401.0615638037425
34389,106123.83985683013
34390,82461.35551860754
34391,116177.82806395291
34392,66410.36495622247
34802,52317.676413332345
34803,120118.3715691159
